OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,x,y
1,0.116357453189,0.0007823067885,Newark Airport,1,EWR,-74.17400027276298,40.69183120640149
2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,-73.83129854302214,40.61674529165988
3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx,-73.84742223236718,40.86447368477543
4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan,-73.97696825691767,40.72375214158478
5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island,-74.18848410184931,40.552659286945655
6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island,-74.07177055895137,40.60032414603462
7,0.107417171123,0.000389787989274,Astoria,7,Queens,-73.91969431946073,40.76149256216376
8,0.0275906911574,2.6587716279e-05,Astoria Park,8,Queens,-73.9230861575075,40.778558653750714
9,0.0997840924705,0.000338443803197,Auburndale,9,Queens,-73.7879488777789,40.751035025572364
10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens,-73.79098635986959,40.67895331011525
11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn,-74.00748815801178,40.60427284003079
12,0.0366613013579,4.15116236727e-05,Battery Park,12,Manhattan,-74.01556351255896,40.702945834984696
13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan,-74.01607915192938,40.712038157074545
14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,-74.0298923741879,40.62483492360817
15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens,-73.78597227877711,40.78333304726102
16,0.141291873771,0.000871889446182,Bayside,16,Queens,-73.77342181890141,40.76273837544241
17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn,-73.9499050350751,40.691507494880625
18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx,-73.89018328872034,40.86768245607538
19,0.101824875452,0.000546661094782,Bellerose,19,Queens,-73.72665537528707,40.73548677976333
20,0.0514401924362,0.000134512633032,Belmont,20,Bronx,-73.8858674810697,40.85777967544162
